time,open,high,low,close,volume
2019-08-05 14:55:00+09:00,26237.78,26243.27,26231.28,26234.28,153
2019-08-05 15:00:00+09:00,26234.08,26252.02,26229.1,26242.58,208
2019-08-05 15:05:00+09:00,26243.07,26252.04,26234.1,26237.59,187
2019-08-05 15:10:00+09:00,26238.59,26240.59,26230.62,26231.12,165
2019-08-05 15:15:00+09:00,26231.62,26241.6,26223.66,26224.15,194
2019-08-05 15:20:00+09:00,26223.65,26229.64,26223.16,26224.64,166
2019-08-05 15:25:00+09:00,26225.63,26229.65,26220.18,26223.17,131
2019-08-05 15:30:00+09:00,26223.17,26238.13,26221.68,26232.16,167
2019-08-05 15:35:00+09:00,26232.65,26232.65,26217.7,26222.19,145
2019-08-05 15:40:00+09:00,26222.68,26234.66,26217.71,26232.17,136
2019-08-05 15:45:00+09:00,26231.17,26239.15,26226.18,26226.19,166
2019-08-05 15:50:00+09:00,26229.18,26238.15,26218.22,26218.72,124
2019-08-05 15:55:00+09:00,26218.72,26234.17,26217.72,26230.19,158
2019-08-05 16:00:00+09:00,26228.2,26240.1,26219.41,26237.72,262
2019-08-05 16:05:00+09:00,26238.1,26248.52,26233.57,26247.39,261
2019-08-05 16:10:00+09:00,26244.4,26254.42,26238.54,26253.04,221
2019-08-05 16:15:00+09:00,26254.04,26260.83,26239.55,26244.92,236
2019-08-05 16:20:00+09:00,26244.43,26259.85,26240.14,26244.8,207
2019-08-05 16:25:00+09:00,26242.81,26244.1,26223.0,26224.39,232
2019-08-05 16:30:00+09:00,26224.39,26227.39,26206.09,26207.47,259
2019-08-05 16:35:00+09:00,26207.47,26213.64,26200.6,26207.13,247
2019-08-05 16:40:00+09:00,26206.63,26215.04,26198.77,26207.03,217
2019-08-05 16:45:00+09:00,26206.69,26212.97,26200.09,26210.62,211
2019-08-05 16:50:00+09:00,26211.62,26231.24,26196.32,26198.45,243
2019-08-05 16:55:00+09:00,26197.1,26203.87,26188.74,26195.53,230
2019-08-05 17:00:00+09:00,26196.03,26203.36,26185.07,26189.54,228
2019-08-05 17:05:00+09:00,26189.54,26193.87,26148.67,26150.2,284
2019-08-05 17:10:00+09:00,26150.19,26171.7,26150.19,26158.32,273
2019-08-05 17:15:00+09:00,26158.32,26169.89,26152.79,26152.79,238
2019-08-05 17:20:00+09:00,26153.29,26163.17,26147.82,26151.95,218
2019-08-05 17:25:00+09:00,26152.94,26164.18,26151.34,26153.21,365
2019-08-05 17:30:00+09:00,26152.72,26180.41,26142.82,26173.86,648
2019-08-05 17:35:00+09:00,26172.86,26178.14,26163.07,26177.91,214
2019-08-05 17:40:00+09:00,26177.94,26184.17,26168.37,26173.32,221
2019-08-05 17:45:00+09:00,26173.32,26181.77,26162.84,26163.1,214
2019-08-05 17:50:00+09:00,26163.1,26165.66,26153.35,26160.48,183
2019-08-05 17:55:00+09:00,26159.98,26159.98,26119.01,26125.58,251
2019-08-05 18:00:00+09:00,26125.58,26130.07,26112.25,26122.73,250
2019-08-05 18:05:00+09:00,26124.22,26130.07,26119.38,26125.29,237
2019-08-05 18:10:00+09:00,26125.79,26133.36,26119.29,26130.52,228
2019-08-05 18:15:00+09:00,26131.52,26141.19,26119.22,26124.06,270
2019-08-05 18:20:00+09:00,26123.56,26135.14,26118.04,26125.15,198
2019-08-05 18:25:00+09:00,26125.65,26206.83,26114.07,26173.32,275
2019-08-05 18:30:00+09:00,26173.82,26211.2,26170.42,26186.28,334
2019-08-05 18:35:00+09:00,26186.78,26207.57,26175.96,26194.86,246
2019-08-05 18:40:00+09:00,26194.86,26233.59,26194.86,26211.06,286
2019-08-05 18:45:00+09:00,26210.06,26228.87,26206.61,26220.25,199
2019-08-05 18:50:00+09:00,26218.28,26225.21,26200.08,26206.7,193
2019-08-05 18:55:00+09:00,26207.18,26222.94,26205.8,26209.29,168
2019-08-05 19:00:00+09:00,26211.78,26225.34,26204.31,26219.58,180
