Time,Open,High,Low,Close
2012/8/12 6:0:0,13196.0,13206.0,13195.0,13204.0
2012/8/13 6:0:0,13203.0,13221.0,13112.0,13166.0
2012/8/14 6:0:0,13165.0,13226.0,13143.0,13144.0
2012/8/15 6:0:0,13143.0,13192.0,13123.0,13161.0
2012/8/16 6:0:0,13160.0,13271.0,13143.0,13246.0
2012/8/17 6:0:0,13247.0,13277.0,13236.0,13268.0
2012/8/19 6:0:0,13269.0,13285.0,13264.0,13272.0
2012/8/20 6:0:0,13273.0,13282.0,13227.0,13257.0
2012/8/21 6:0:0,13256.0,13331.0,13185.0,13201.0
2012/8/22 6:0:0,13200.0,13211.0,13119.0,13176.0
2012/8/23 6:0:0,13175.0,13226.0,13045.0,13063.0
2012/8/24 6:0:0,13065.0,13175.0,13025.0,13169.0
2012/8/26 6:0:0,13170.0,13188.0,13167.0,13186.0
2012/8/27 6:0:0,13185.0,13197.0,13117.0,13125.0
2012/8/28 6:0:0,13126.0,13149.0,13080.0,13112.0
2012/8/29 6:0:0,13113.0,13146.0,13078.0,13090.0
2012/8/30 6:0:0,13091.0,13094.0,12976.0,12983.0
2012/8/31 6:0:0,12986.0,13154.0,12980.0,13089.0
2012/9/2 6:0:0,13068.0,13096.0,13061.0,13093.0
2012/9/3 6:0:0,13094.0,13115.0,13024.0,13100.0
2012/9/4 6:0:0,13101.0,13127.0,12975.0,13042.0
2012/9/5 6:0:0,13040.0,13095.0,12990.0,13052.0
2012/9/6 6:0:0,13053.0,13295.0,13048.0,13282.0
2012/9/7 6:0:0,13281.0,13326.0,13269.0,13300.0
2012/9/9 6:0:0,13290.0,13293.0,13287.0,13291.0
2012/9/10 6:0:0,13290.0,13322.0,13221.0,13235.0
2012/9/11 6:0:0,13237.0,13354.0,13198.0,13288.0
2012/9/12 6:0:0,13289.0,13378.0,13286.0,13355.0
2012/9/13 6:0:0,13354.0,13575.0,13325.0,13538.0
2012/9/14 6:0:0,13539.0,13650.0,13536.0,13593.0
2012/9/16 6:0:0,13584.0,13588.0,13569.0,13570.0
2012/9/17 6:0:0,13569.0,13590.0,13527.0,13548.0
2012/9/18 6:0:0,13549.0,13583.0,13499.0,13576.0
2012/9/19 6:0:0,13577.0,13630.0,13553.0,13572.0
2012/9/20 6:0:0,13571.0,13604.0,13498.0,13594.0
2012/9/21 6:0:0,13595.0,13658.0,13561.0,13569.0
2012/9/23 6:0:0,13559.0,13579.0,13559.0,13573.0
2012/9/24 6:0:0,13574.0,13604.0,13509.0,13569.0
2012/9/25 6:0:0,13570.0,13621.0,13460.0,13478.0
2012/9/26 6:0:0,13479.0,13498.0,13406.0,13436.0
2012/9/27 6:0:0,13438.0,13525.0,13416.0,13495.0
2012/9/28 6:0:0,13494.0,13501.0,13366.0,13437.0
